agent,model,x,ll,group,ntrials,exp,prolificID
610a1655e385fd7341e12778,map,[0.82903475 2.94026388],183.45121350944422,perceptual,287,FullPilot12,610a1655e385fd7341e12778
66f6c4195f17d26ce8c8018d,map,[9.99949863e-01 9.01217365e+04],140.25643474153742,perceptual,288,FullPilot12,66f6c4195f17d26ce8c8018d
636590165e6fcc3e84ee2b6d,map,[0.00062262 0.05573146],194.05326977451108,random,280,FullPilot12,636590165e6fcc3e84ee2b6d
660d619f39d061875f78ac8c,map,[3.30047607e-05 6.44683838e-02],205.13360112271815,random,296,FullPilot12,660d619f39d061875f78ac8c
667ad18688c9319e6559bdc4,map,[9.99974699e-01 8.20882314e+04],146.17457664751143,combined,288,FullPilot12,667ad18688c9319e6559bdc4
669ede47eb98d478aff45414,map,[1.03482455e-05 2.36555556e+01],141.43628992518896,combined,288,FullPilot12,669ede47eb98d478aff45414
60d7922fc3809c404939251c,map,[8.69376953e-01 3.67574951e+04],146.979136991332,perceptual,288,FullPilot12,60d7922fc3809c404939251c
5a9353586219a30001d2f2af,map,[2.5390625e-05 2.5390625e+00],188.90543343948693,random,287,FullPilot12,5a9353586219a30001d2f2af
5d5b67ab9ad5a300181398dc,map,[9.99962720e-01 9.99756342e+04],136.06424100660794,perceptual,288,FullPilot12,5d5b67ab9ad5a300181398dc
6165e6f471254e3af05c5057,map,[5.53968994e-01 9.99974609e+04],224.21936600524964,random,288,FullPilot12,6165e6f471254e3af05c5057
66f7102d3196ce5e60b2c1bd,map,[9.99974609e-01 3.90478271e+04],175.6914076057639,perceptual,287,FullPilot12,66f7102d3196ce5e60b2c1bd
66eeda2bc7d6e9b92b4a81c0,map,[9.99974712e-01 4.88616593e+04],156.8512067670283,perceptual,336,FullPilot12,66eeda2bc7d6e9b92b4a81c0
63626fe174f7db263a4aa8f2,map,[1.68800354e-07 3.02410126e-01],194.68550679200925,random,282,FullPilot12,63626fe174f7db263a4aa8f2
6167175ed1680ecefc063aed,map,[9.64888672e-01 3.00448730e+04],123.59925149828946,perceptual,288,FullPilot12,6167175ed1680ecefc063aed
66bb5ad727c62d0960db333c,map,[9.99857464e-01 4.21798318e+04],156.51037017509972,perceptual,288,FullPilot12,66bb5ad727c62d0960db333c
64db80772c860983ea3a7310,map,[7.4694165e-01 4.0643750e+04],241.9061043177314,random,287,FullPilot12,64db80772c860983ea3a7310
657b6239aa8091bfa2b24ae0,map,[9.08604980e-01 8.06758301e+04],148.35902248437353,perceptual,288,FullPilot12,657b6239aa8091bfa2b24ae0
66b104dedef80475efe58141,map,[9.99974803e-01 5.90820697e+04],181.12589507131437,perceptual,288,FullPilot12,66b104dedef80475efe58141
60da2baf34bde948982f84db,map,[0.99997461 2.5390625 ],193.29686340432696,perceptual,287,FullPilot12,60da2baf34bde948982f84db
663a623d4ea504f754d08b02,map,[9.47071594e-01 5.37948853e+04],123.97913699133125,perceptual,288,FullPilot12,663a623d4ea504f754d08b02
5ac560359534ba0001c74715,map,[6.13054688e-01 8.58656250e+04],131.21936600524788,combined,288,FullPilot12,5ac560359534ba0001c74715
665c4e3dc160ab38d079635a,map,[0.35229945 0.31430721],198.45748408671832,random,287,FullPilot12,665c4e3dc160ab38d079635a
663eea8e72f4269ddd149eba,map,[8.89600098e-01 3.93036621e+04],178.97850625546747,perceptual,300,FullPilot12,663eea8e72f4269ddd149eba
5d44afdcad6d110019b0a960,map,[  0.99100167 926.18322322],134.67308536816648,perceptual,288,FullPilot12,5d44afdcad6d110019b0a960
66acee53fddf185342f15a88,map,[8.67275452e-01 1.82642822e+04],144.21936600524842,combined,288,FullPilot12,66acee53fddf185342f15a88
660c9c26e4220931438f3d30,map,[8.07757656e-01 1.05273685e+04],119.21936600524779,combined,288,FullPilot12,660c9c26e4220931438f3d30
669f45c902420af78b04a9b1,map,[1.55962891e-01 5.88689453e+04],165.28598981077235,value,287,FullPilot12,669f45c902420af78b04a9b1
62b4ef82055cec7135502ada,map,[6.80662770e-05 1.52067514e-09],197.5469464684879,random,285,FullPilot12,62b4ef82055cec7135502ada
58c42d725866f200017c5deb,map,[9.99974609e-01 9.99974609e+04],132.12968261531188,perceptual,287,FullPilot12,58c42d725866f200017c5deb
5e2b3e22a8f85318c2429121,map,[6.13054688e-01 8.58656250e+04],195.21936600524907,random,288,FullPilot12,5e2b3e22a8f85318c2429121
65e0ef2a74037d1530a40cca,map,[1.55962891e-01 5.88689453e+04],164.21936600524887,combined,288,FullPilot12,65e0ef2a74037d1530a40cca
6646731363eb9f583aa62e05,map,[1.55962891e-01 5.88689453e+04],177.21936600524907,value,288,FullPilot12,6646731363eb9f583aa62e05
664a7e1665f30b00d2685ba3,map,[9.99968691e-01 8.95318130e+03],175.8136794557257,perceptual,287,FullPilot12,664a7e1665f30b00d2685ba3
66463a2c0a36377060b1910c,map,[9.98895017e-01 6.21426398e+03],124.44075591222088,perceptual,288,FullPilot12,66463a2c0a36377060b1910c
6087ee3e8df094dc6dd69e8e,map,[0.99999955 1.07053905],195.98384029329011,perceptual,288,FullPilot12,6087ee3e8df094dc6dd69e8e
5a580fb6eedc320001426cd7,map,[9.99997452e-01 3.10902939e+04],140.36102812611313,perceptual,287,FullPilot12,5a580fb6eedc320001426cd7
66f09b3690fe3df51613a689,map,[5.e-01 5.e+04],122.2193660052478,combined,288,FullPilot12,66f09b3690fe3df51613a689
5d012b5ffade220017b10010,map,[8.22747986e-01 3.34438232e+04],140.59925149828987,combined,288,FullPilot12,5d012b5ffade220017b10010
61363ce02e6022a741d63a6e,map,[2.53906250e-05 4.57513123e+04],172.1309207667435,value,288,FullPilot12,61363ce02e6022a741d63a6e
632fc453431e3369da22be81,map,[6.13054688e-01 8.58656250e+04],191.90610431773084,perceptual,287,FullPilot12,632fc453431e3369da22be81
5d773df22fa4bf001a045aa9,map,[9.99975353e-01 2.24531455e+04],186.2388266890315,combined,287,FullPilot12,5d773df22fa4bf001a045aa9
5a9416ba6475f900019fa690,map,[9.99822327e-01 9.35673233e+04],116.84467032865288,perceptual,288,FullPilot12,5a9416ba6475f900019fa690
669628f0762cf2bfc381c161,map,[9.82979858e-01 9.99974609e+04],153.59925149829024,perceptual,288,FullPilot12,669628f0762cf2bfc381c161
66d9b86591a5610c3492d5d9,map,[8.89127131e-01 9.32544771e+02],164.59889433544066,combined,288,FullPilot12,66d9b86591a5610c3492d5d9
5484d361fdf99b0379939d5b,map,[6.27156067e-01 7.77124084e+04],122.28598981077128,combined,287,FullPilot12,5484d361fdf99b0379939d5b
66fc60b6f59bcb7d6dba7d4f,map,[0.99997461 2.5390625 ],182.066792494874,perceptual,288,FullPilot12,66fc60b6f59bcb7d6dba7d4f
5d9cb58ee8783f0019c8bd06,map,[9.41619873e-01 9.23345947e+04],149.21936600524845,perceptual,288,FullPilot12,5d9cb58ee8783f0019c8bd06
6150fb8383f88eae3e5c795a,map,[8.15347046e-01 2.18855652e+04],179.66587530381406,perceptual,287,FullPilot12,6150fb8383f88eae3e5c795a
62865e3456c142785cfad2a7,map,[1.49756668e-09 2.57847763e+02],184.10476729398457,combined,322,FullPilot12,62865e3456c142785cfad2a7
66eefcfef4a122e447c654d1,map,[9.08970459e-01 2.42337646e+04],133.1713380680942,combined,307,FullPilot12,66eefcfef4a122e447c654d1
66cbc2627559d53c0e3e4ac4,map,[2.99839600e-01 3.12996826e+04],161.21936600524896,combined,288,FullPilot12,66cbc2627559d53c0e3e4ac4
668180f26a3b162091510589,map,[3.97978195e-01 1.30881927e+04],126.90610431772959,combined,287,FullPilot12,668180f26a3b162091510589
5ee738a018d5a84caa7e0f2a,map,[7.09908874e-01 1.59430983e+03],117.42617569579149,combined,287,FullPilot12,5ee738a018d5a84caa7e0f2a
66ffb576e0cde42ca9ea7fa7,map,[8.84879333e-01 1.52277649e+04],133.59925149828976,perceptual,288,FullPilot12,66ffb576e0cde42ca9ea7fa7
663784abc88d62265def75ea,map,[ 1.         40.38323183],146.57044000017734,perceptual,288,FullPilot12,663784abc88d62265def75ea
5da4152a3ab39a0011295a3e,map,[6.72981267e-01 5.56527197e+03],181.35902197822236,value,288,FullPilot12,5da4152a3ab39a0011295a3e
66182d2b06cbee83d298b517,map,[9.99942249e-01 9.67831535e+04],120.359546737557,perceptual,288,FullPilot12,66182d2b06cbee83d298b517
66c7f746e43985cfcb2c99e6,map,[8.08707520e-01 7.92504639e+04],117.96631925517491,combined,284,FullPilot12,66c7f746e43985cfcb2c99e6
66ee262c64a810b7ec1371e9,map,[9.99974609e-01 6.10130859e+04],146.5903935271886,perceptual,288,FullPilot12,66ee262c64a810b7ec1371e9
628de7e8ff1744a9717d7883,map,[0.99975028 0.17228574],199.52516257145646,random,288,FullPilot12,628de7e8ff1744a9717d7883
66e74251d30f3f96be79e2f0,map,[2.53106914e-05 2.73351359e+04],122.75037512450399,value,288,FullPilot12,66e74251d30f3f96be79e2f0
