,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
0,block,0,1,True,True,-1.2887701987396518,9.0,two-sided,0.22961796139884177,1.0,bonf,0.596,-0.5442876385911328
1,block,0,2,True,True,-2.4746602971226026,9.0,two-sided,0.03529934018308,1.0,bonf,2.299,-0.4612579314537517
2,block,0,3,True,True,-4.254392830830113,9.0,two-sided,0.002128651004523793,0.25543812054285514,bonf,21.836,-1.5628572123979239
3,block,0,4,True,True,-2.3811818493989283,9.0,two-sided,0.0411479037898374,1.0,bonf,2.044,-0.9586220229437432
4,block,0,5,True,True,-4.996938395118962,9.0,two-sided,0.0007420628056133144,0.08904753667359773,bonf,52.423,-1.4397358787465315
5,block,0,6,True,True,-5.0108797647171945,9.0,two-sided,0.0007280818731601675,0.0873698247792201,bonf,53.264,-1.6426414748269877
6,block,0,7,True,True,-2.7701339787016366,9.0,two-sided,0.021748743635164085,1.0,bonf,3.348,-1.2689482853455125
7,block,0,8,True,True,-5.779947896417812,9.0,two-sided,0.000266083500650007,0.03193002007800084,bonf,124.269,-0.9912628342383238
8,block,0,9,True,True,-5.897882681749326,9.0,two-sided,0.00022967346801829668,0.027560816162195603,bonf,140.757,-1.9220852072588621
9,block,0,10,True,True,-4.787595456073309,9.0,two-sided,0.0009907131614154104,0.11888557936984925,bonf,41.18,-1.5238674238663805
10,block,0,11,True,True,-4.507232691011273,9.0,two-sided,0.0014735547450747408,0.1768265694089689,bonf,29.601,-1.9444422243126607
11,block,0,12,True,True,-5.148714183858316,9.0,two-sided,0.000604178243981494,0.07250138927777929,bonf,62.275,-1.9645050866875235
12,block,0,13,True,True,-3.4557090226022678,9.0,two-sided,0.007209454272362764,0.8651345126835317,bonf,8.065,-1.2838088866769104
13,block,0,14,True,True,-4.148036860648865,9.0,two-sided,0.002491650360078743,0.29899804320944917,bonf,19.179,-1.7054397835872501
14,block,0,15,True,True,-3.602417544223861,9.0,two-sided,0.0057266606305475835,0.68719927566571,bonf,9.716,-1.3650195121900397
15,block,1,2,True,True,0.18123662799905316,9.0,two-sided,0.8601976858682057,1.0,bonf,0.313,0.07930894315822064
16,block,1,3,True,True,-4.452958786237538,9.0,two-sided,0.0015933718612139622,0.19120462334567548,bonf,27.743,-1.0841433775207459
17,block,1,4,True,True,-2.270618312785453,9.0,two-sided,0.049313193698529365,1.0,bonf,1.781,-0.49066385173900423
18,block,1,5,True,True,-2.5503543535631485,9.0,two-sided,0.031176614632051465,1.0,bonf,2.53,-0.9505451687464638
19,block,1,6,True,True,-3.362854233917198,9.0,two-sided,0.008351209898458323,1.0,bonf,7.164,-1.1460506977484988
20,block,1,7,True,True,-3.4566024948684295,9.0,two-sided,0.007199296667263242,0.8639156000715891,bonf,8.074,-0.8020565923821414
21,block,1,8,True,True,-1.0600429132313798,9.0,two-sided,0.31674332198085553,1.0,bonf,0.488,-0.44451467486934443
22,block,1,9,True,True,-4.022870397928835,9.0,two-sided,0.0030050455738232854,0.36060546885879424,bonf,16.442,-1.456732905337649
23,block,1,10,True,True,-3.6183117910848805,9.0,two-sided,0.005586435135546615,0.6703722162655937,bonf,9.913,-1.0210708752902857
24,block,1,11,True,True,-7.171337026671432,9.0,two-sided,5.243470638535307e-05,0.006292164766242368,bonf,495.987,-1.4912684799028149
25,block,1,12,True,True,-3.38428476840299,9.0,two-sided,0.008071926438902319,0.9686311726682783,bonf,7.362,-1.4996957842636245
26,block,1,13,True,True,-3.8729833462074175,9.0,two-sided,0.003771557558705979,0.4525869070447175,bonf,13.651,-0.8118633779908409
27,block,1,14,True,True,-5.242432539439418,9.0,two-sided,0.0005330336865169704,0.06396404238203644,bonf,69.18,-1.2310013155997865
28,block,1,15,True,True,-3.8411777933530606,9.0,two-sided,0.0039593857311411105,0.4751262877369333,bonf,13.119,-0.8872280115633433
29,block,2,3,True,True,-2.9737945481051793,9.0,two-sided,0.015605986314563799,1.0,bonf,4.349,-1.1412154338447473
30,block,2,4,True,True,-1.4144312509085761,9.0,two-sided,0.1908851838016148,1.0,bonf,0.673,-0.5539898758982154
31,block,2,5,True,True,-3.3792208151505534,9.0,two-sided,0.00813702900175724,0.9764434802108689,bonf,7.315,-1.0110334165072885
32,block,2,6,True,True,-3.9256794194266047,9.0,two-sided,0.003480806603485927,0.41769679241831126,bonf,14.577,-1.2030455202811965
33,block,2,7,True,True,-1.8579784768841896,9.0,two-sided,0.09612237058512203,1.0,bonf,1.086,-0.8620952443606854
34,block,2,8,True,True,-2.213211486674006,9.0,two-sided,0.05416071530182171,1.0,bonf,1.66,-0.5197531911857383
35,block,2,9,True,True,-4.290581651605165,9.0,two-sided,0.0020183483472589626,0.24220180167107552,bonf,22.816,-1.5027790238651295
36,block,2,10,True,True,-3.2731293583019823,9.0,two-sided,0.00963442525566599,1.0,bonf,6.387,-1.081525065004444
37,block,2,11,True,True,-3.4359139142781343,9.0,two-sided,0.007438384159914223,0.8926060991897067,bonf,7.864,-1.5364369793112278
38,block,2,12,True,True,-4.72922048180526,9.0,two-sided,0.0010750733650619934,0.1290088038074392,bonf,38.469,-1.543683260870557
39,block,2,13,True,True,-2.400396792595917,9.0,two-sided,0.03987193860194752,1.0,bonf,2.094,-0.8723983747404196
40,block,2,14,True,True,-3.0461264215817936,9.0,two-sided,0.01387961576830195,1.0,bonf,4.772,-1.2845435316022784
41,block,2,15,True,True,-2.4081166040212274,9.0,two-sided,0.0393704230510658,1.0,bonf,2.114,-0.947454215487778
42,block,3,4,True,True,2.550108318866384,9.0,two-sided,0.031189202023552937,1.0,bonf,2.529,0.4361305506859873
43,block,3,5,True,True,0.38327068901304284,9.0,two-sided,0.7104151764037421,1.0,bonf,0.329,0.13731417398442414
44,block,3,6,True,True,0.2899533620969399,9.0,two-sided,0.7784213568082612,1.0,bonf,0.32,0.054331581398808164
45,block,3,7,True,True,0.8437044459281624,9.0,two-sided,0.42069303081062837,1.0,bonf,0.415,0.16813523541943756
46,block,3,8,True,True,2.153501445320058,9.0,two-sided,0.05969555206594305,1.0,bonf,1.543,0.73404696435318
47,block,3,9,True,True,-0.7530207840354444,9.0,two-sided,0.47067518046522316,1.0,bonf,0.392,-0.2589495521624074
48,block,3,10,True,True,0.5963966279453563,9.0,two-sided,0.565607216717789,1.0,bonf,0.359,0.1539095797912705
49,block,3,11,True,True,-1.9639610121239315,9.0,two-sided,0.0811261888458405,1.0,bonf,1.229,-0.35729330697867007
50,block,3,12,True,True,-0.6123724356957944,9.0,two-sided,0.5554454421055857,1.0,bonf,0.362,-0.26603408119742716
51,block,3,13,True,True,1.1664400142445852,9.0,two-sided,0.2734141111630566,1.0,bonf,0.533,0.17740527995793987
52,block,3,14,True,True,-0.612372435695794,9.0,two-sided,0.5554454421055859,1.0,bonf,0.362,-0.11132336525049406
53,block,3,15,True,True,0.4200271543373603,9.0,two-sided,0.6843154875638242,1.0,bonf,0.333,0.1388929214967763
54,block,4,5,True,True,-0.8899372983040739,9.0,two-sided,0.3966642915641333,1.0,bonf,0.429,-0.32389621851384615
55,block,4,6,True,True,-1.7194452582647421,9.0,two-sided,0.11964952600438276,1.0,bonf,0.928,-0.42991180631880227
56,block,4,7,True,True,-1.6464910752815114,9.0,two-sided,0.13406918597670983,1.0,bonf,0.857,-0.25333367035634846
57,block,4,8,True,True,0.35508611024507103,9.0,two-sided,0.7307042375652737,1.0,bonf,0.326,0.13711158056939343
58,block,4,9,True,True,-1.761461013059566,9.0,two-sided,0.11200413679674782,1.0,bonf,0.973,-0.6711221556726105
59,block,4,10,True,True,-1.2060453783110536,9.0,two-sided,0.2585472008663301,1.0,bonf,0.552,-0.3417588014957536
60,block,4,11,True,True,-3.144274854785246,9.0,two-sided,0.011846212582625994,1.0,bonf,5.414,-0.7334639171212689
61,block,4,12,True,True,-1.6482538569212744,9.0,two-sided,0.13370290341746285,1.0,bonf,0.858,-0.6835579488040631
62,block,4,13,True,True,-3.219091455798795,9.0,two-sided,0.010504676309519175,1.0,bonf,5.959,-0.2527662266534291
63,block,4,14,True,True,-2.7525652260277744,9.0,two-sided,0.022382692732264207,1.0,bonf,3.274,-0.5372309008150379
64,block,4,15,True,True,-1.0597460908217868,9.0,two-sided,0.31687125513674996,1.0,bonf,0.487,-0.2997562774020759
65,block,5,6,True,True,-0.30571941517004236,9.0,two-sided,0.7667714739925983,1.0,bonf,0.321,-0.10243713766726757
66,block,5,7,True,True,0.11446266459945494,9.0,two-sided,0.9113839428270106,1.0,bonf,0.311,0.049034346178478065
67,block,5,8,True,True,2.518324331541376,9.0,two-sided,0.032858869806223726,1.0,bonf,2.429,0.5846953756141531
68,block,5,9,True,True,-0.9885294944787077,9.0,two-sided,0.3487230565404924,1.0,bonf,0.461,-0.4177259672860951
69,block,5,10,True,True,0.01348277159846507,9.0,two-sided,0.9895367801348783,1.0,bonf,0.309,0.002223882189427907
70,block,5,11,True,True,-1.3180524762724652,9.0,two-sided,0.22004514971396222,1.0,bonf,0.612,-0.5051443234981401
71,block,5,12,True,True,-1.4905530480152607,9.0,two-sided,0.17026821469233508,1.0,bonf,0.726,-0.43177113670883494
72,block,5,13,True,True,0.1632209547171292,9.0,two-sided,0.873950764879652,1.0,bonf,0.312,0.055493220774274384
73,block,5,14,True,True,-0.6378429040511089,9.0,two-sided,0.5394631008891249,1.0,bonf,0.367,-0.25510521847059836
74,block,5,15,True,True,0.042625315493459805,9.0,two-sided,0.9669309055069508,1.0,bonf,0.309,0.011280334453694812
75,block,6,7,True,True,0.4834065917264995,9.0,two-sided,0.6403502573218585,1.0,bonf,0.341,0.13967149403356513
76,block,6,8,True,True,2.769064530988442,9.0,two-sided,0.02178680692948556,1.0,bonf,3.344,0.7809943621706597
77,block,6,9,True,True,-1.245682197806099,9.0,two-sided,0.2443331438674794,1.0,bonf,0.572,-0.38884408535209863
78,block,6,10,True,True,0.4826818655360428,9.0,two-sided,0.6408451318446647,1.0,bonf,0.341,0.11947655909493178
79,block,6,11,True,True,-1.8754399381851756,9.0,two-sided,0.09348403169447582,1.0,bonf,1.108,-0.49098012756969
80,block,6,12,True,True,-1.1441933944164948,9.0,two-sided,0.28206141773351623,1.0,bonf,0.523,-0.41183282700274143
81,block,6,13,True,True,0.7092993656151909,9.0,two-sided,0.4961015555245204,1.0,bonf,0.382,0.1494848736193689
82,block,6,14,True,True,-0.8670480896671758,9.0,two-sided,0.4084371522341951,1.0,bonf,0.422,-0.18842431060348286
83,block,6,15,True,True,0.3094263738776382,9.0,two-sided,0.7640411601082999,1.0,bonf,0.322,0.10598103321613962
84,block,7,8,True,True,1.0650284735642028,9.0,two-sided,0.3146004390341665,1.0,bonf,0.49,0.45535135946025823
85,block,7,9,True,True,-1.064422635174157,9.0,two-sided,0.3148602411389574,1.0,bonf,0.489,-0.3980683711684268
86,block,7,10,True,True,-0.1501388241712059,9.0,two-sided,0.8839659979903968,1.0,bonf,0.312,-0.05071500470898278
87,block,7,11,True,True,-2.3198313576494094,9.0,two-sided,0.04549836748921203,1.0,bonf,1.893,-0.47516085173707673
88,block,7,12,True,True,-0.8864653961928839,9.0,two-sided,0.3984344452894176,1.0,bonf,0.427,-0.4057780836525165
89,block,7,13,True,True,0.026646234754592647,9.0,two-sided,0.9793233800980469,1.0,bonf,0.309,0.00478363772792266
90,block,7,14,True,True,-1.568747266142746,9.0,two-sided,0.15115211465074369,1.0,bonf,0.788,-0.2684919709363941
91,block,7,15,True,True,-0.12062850680782483,9.0,two-sided,0.906635389463234,1.0,bonf,0.311,-0.0364569040902482
92,block,8,9,True,True,-3.5160966911309193,9.0,two-sided,0.006555514596549114,0.7866617515858937,bonf,8.708,-1.1466187920228368
93,block,8,10,True,True,-2.5826545321693164,9.0,two-sided,0.029567590527268005,1.0,bonf,2.636,-0.6430413141310555
94,block,8,11,True,True,-2.9401911591380347,9.0,two-sided,0.0164816130357498,1.0,bonf,4.165,-1.1916745151948802
95,block,8,12,True,True,-3.5289737500110596,9.0,two-sided,0.006424284911566987,0.7709141893880385,bonf,8.852,-1.1973227780222127
96,block,8,13,True,True,-1.3173630244323145,9.0,two-sided,0.22026662905752267,1.0,bonf,0.612,-0.46024970760808515
97,block,8,14,True,True,-2.341647087296017,9.0,two-sided,0.043901681514336766,1.0,bonf,1.946,-0.8924939904739414
98,block,8,15,True,True,-1.506672865984213,9.0,two-sided,0.16616126240197832,1.0,bonf,0.739,-0.5314861775424082
99,block,9,10,True,True,1.2949836261035148,9.0,two-sided,0.22755810206064533,1.0,bonf,0.599,0.4886339763364445
100,block,9,11,True,True,-0.40770268088137845,9.0,two-sided,0.6930196830942377,1.0,bonf,0.332,-0.14895832260542544
101,block,9,12,True,True,0.017516027199001645,9.0,two-sided,0.9864071122661872,1.0,bonf,0.309,0.008328667600697367
102,block,9,13,True,True,1.1493915422653815,9.0,two-sided,0.28002161548096394,1.0,bonf,0.526,0.41620940152504143
103,block,9,14,True,True,0.4455493316556618,9.0,two-sided,0.6664472983347096,1.0,bonf,0.336,0.1455107584558558
104,block,9,15,True,True,1.0758625911149757,9.0,two-sided,0.30998232489004846,1.0,bonf,0.494,0.38960206674465264
105,block,10,11,True,True,-2.227622702245981,9.0,two-sided,0.05290170918726913,1.0,bonf,1.689,-0.5788543131892468
106,block,10,12,True,True,-1.652408430675064,9.0,two-sided,0.1328432237662051,1.0,bonf,0.862,-0.5139030276706441
107,block,10,13,True,True,0.24002133617819896,9.0,two-sided,0.8156912984931171,1.0,bonf,0.317,0.05779646463907159
108,block,10,14,True,True,-1.022019940339814,9.0,two-sided,0.3334564347422369,1.0,bonf,0.473,-0.28825404410344774
109,block,10,15,True,True,0.04624148705148547,9.0,two-sided,0.9641275817696855,1.0,bonf,0.309,0.010200278662669362
110,block,11,12,True,True,0.3750000000000002,9.0,two-sided,0.7163448902227335,1.0,bonf,0.328,0.16788866767677174
111,block,11,13,True,True,2.363459352676324,9.0,two-sided,0.042360571007681785,1.0,bonf,1.999,0.494199438107328
112,block,11,14,True,True,1.8090680674665818,9.0,two-sided,0.1038881310621017,1.0,bonf,1.027,0.2589521581320115
113,block,11,15,True,True,1.6521456936774055,9.0,two-sided,0.13289744144332105,1.0,bonf,0.862,0.4725765284759351
114,block,12,13,True,True,1.0680944092207048,9.0,two-sided,0.31328820686459113,1.0,bonf,0.491,0.42514740301554377
115,block,12,14,True,True,0.33752637027780724,9.0,two-sided,0.7434589072893496,1.0,bonf,0.324,0.14797583525151137
116,block,12,15,True,True,1.0453666236753147,9.0,two-sided,0.323116622833027,1.0,bonf,0.482,0.3992655121145603
117,block,13,14,True,True,-1.7596017161672481,9.0,two-sided,0.11233270863150137,1.0,bonf,0.971,-0.2808996290630369
118,block,13,15,True,True,-0.16058631827165665,9.0,two-sided,0.8759659087784055,1.0,bonf,0.312,-0.04224895293158656
119,block,14,15,True,True,0.8852019811927202,9.0,two-sided,0.3990799828269467,1.0,bonf,0.427,0.24673933345968743
